time=    0, Simulation Start
time=    0, Starting Reset
time=  240, Reset Completed
time=  240, Starting Test mode 00
Time=260 Error dut: load=x, rco=z, Q=00000000000000000000000000000000, scoreboard: load=x, rco=x , Q=00000000000000000000000000000000 
Time=300 Error dut: load=x, rco=z, Q=00000000000000000000000000000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=340 Error dut: load=x, rco=z, Q=00000000000000000000000000000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=380 Error dut: load=x, rco=z, Q=00000000000000000000000000000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=420 Error dut: load=x, rco=z, Q=00000000000000000000000000000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=460 Error dut: load=x, rco=z, Q=00000000000000000000000000000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=500 Error dut: load=x, rco=z, Q=00000000000000000000000000000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=540 Error dut: load=x, rco=z, Q=00000000000000000000000000000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=580 Error dut: load=x, rco=z, Q=00000000000000000000000000000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=620 Error dut: load=x, rco=z, Q=00000000000000000000000000001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=660 Error dut: load=x, rco=z, Q=00000000000000000000000000001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=700 Error dut: load=x, rco=z, Q=00000000000000000000000000001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=740 Error dut: load=x, rco=z, Q=00000000000000000000000000001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=780 Error dut: load=x, rco=z, Q=00000000000000000000000000001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=820 Error dut: load=x, rco=z, Q=00000000000000000000000000001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=860 Error dut: load=x, rco=z, Q=00000000000000000000000000001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=900 Error dut: load=x, rco=z, Q=00000000000000000000000000001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=940 Error dut: load=x, rco=z, Q=00000000000000000000000000010001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
